name,coverage
E05000932 Ainsdale,59.44934599809779,200
E05000933 Birkdale,0.0
E05000934 Blundellsands,0.0
E05000935 Cambridge,52.32049573895124,200
E05000936 Church,0.0
E05000937 Derby,0.0
E05000938 Duke's,0.0
E05000939 Ford,0.0
E05000940 Harington,81.63723083270301,200
E05000941 Kew,0.0
E05000942 Linacre,0.0
E05000943 Litherland,0.0
E05000944 Manor,0.0
E05000945 Meols,0.0
E05000946 Molyneux,53.522764105590156,200
E05000947 Netherton and Orrell,0.0
E05000948 Norwood,0.0
E05000949 Park,55.38874833479362,200
E05000950 Ravenmeols,35.13196648906377,200
E05000951 St Oswald,0.0
E05000952 Sudell,79.1993258343135,200
E05000953 Victoria,0.0
E05000954 Bebington,73.94113624335185,200
E05000955 Bidston and St James,0.0
E05000956 Birkenhead and Tranmere,0.0
E05000957 Bromborough,0.0
E05000958 Clatterbridge,88.00848550370422,199,1
E05000959 Claughton,0.0
E05000960 Eastham,82.27379212024125,200
"E05000961 Greasby, Frankby and Irby",63.780184284720804,200
E05000962 Heswall,77.80267501800306,200
E05000963 Hoylake and Meols,44.758403760136126,200
E05000964 Leasowe and Moreton East,55.42670069231325,200
E05000965 Liscard,0.0
E05000966 Moreton West and Saughall Massie,0.0
E05000967 New Brighton,0.0
E05000968 Oxton,0.0
E05000969 Pensby and Thingwall,78.04000459172609,200
E05000970 Prenton,0.0
E05000971 Rock Ferry,0.0
E05000972 Seacombe,0.0
E05000973 Upton,0.0
E05000974 Wallasey,0.0
E05000975 West Kirby and Thurstaston,68.7455889575696,200
E05000976 Central,0.0
E05000977 Cudworth,0.0
E05000978 Darfield,76.52889857317435,200
E05000979 Darton East,59.09001697142982,200
E05000980 Darton West,46.49902367752168,200
E05000981 Dearne North,0.0
E05000982 Dearne South,55.1634103968842,200
E05000983 Dodworth,83.63653754915777,200
E05000984 Hoyland Milton,0.0
E05000985 Kingstone,0.0
E05000986 Monk Bretton,0.0
E05000987 North East,78.64817707793623,200
E05000988 Old Town,0.0
E05000989 Penistone East,85.93168134656827,188,12
E05000990 Penistone West,90.69309995954592,189,11
E05000991 Rockingham,53.926415214892145,200
E05000992 Royston,65.34257319096871,200
E05000993 St Helens,0.0
E05000994 Stairfoot,0.0
E05000995 Wombwell,0.0
E05000996 Worsbrough,58.293582572439625,200
E05001067 Birtley,0.0
E05001068 Blaydon,0.0
E05001069 Bridges,0.0
E05001071 Chowdene,0.0
E05001072 Crawcrook and Greenside,69.75793270917515,200
E05001073 Deckham,0.0
E05001074 Dunston and Teams,0.0
E05001075 Dunston Hill and Whickham East,0.0
E05001076 Felling,0.0
E05001077 High Fell,0.0
E05001078 Lamesley,84.89602836464903,199,1
E05001079 Lobley Hill and Bensham,0.0
E05001080 Low Fell,0.0
E05001081 Pelaw and Heworth,0.0
"E05001082 Ryton, Crookhill and Stella",0.0
E05001083 Saltwell,0.0
E05001084 Wardley and Leam Lane,0.0
E05001085 Whickham North,0.0
E05001086 Whickham South and Sunniside,74.69998351654768,200
E05001087 Windy Nook and Whitehills,0.0
E05001088 Winlaton and High Spen,40.35195395525503,200
E05001135 Beacon and Bents,0.0
E05001136 Bede,0.0
E05001137 Biddick and All Saints,0.0
E05001138 Boldon Colliery,0.0
E05001139 Cleadon and East Boldon,53.703747173072145,200
E05001140 Cleadon Park,0.0
E05001141 Fellgate and Hedworth,79.99418076825307,200
E05001142 Harton,0.0
E05001143 Hebburn North,0.0
E05001144 Hebburn South,0.0
E05001145 Horsley Hill,0.0
E05001146 Monkton,0.0
E05001147 Primrose,0.0
E05001148 Simonside and Rekendyke,0.0
E05001149 Westoe,0.0
E05001150 West Park,0.0
E05001151 Whitburn and Marsden,0.0
E05001152 Whiteleas,0.0
E05001153 Barnes,0.0
E05001154 Castle,0.0
E05001155 Copt Hill,78.76747403866351,200
E05001156 Doxford,61.43142813744365,200
E05001157 Fulwell,0.0
E05001158 Hendon,0.0
E05001159 Hetton,72.7285022676344,200
E05001160 Houghton,0.0
E05001161 Millfield,0.0
E05001162 Pallion,0.0
E05001163 Redhill,0.0
E05001164 Ryhope,58.60193175614771,200
E05001165 St Anne's,0.0
E05001166 St Chad's,0.0
E05001167 St Michael's,0.0
E05001168 St Peter's,0.0
E05001169 Sandhill,0.0
E05001170 Shiney Row,71.17732641966576,200
E05001171 Silksworth,0.0
E05001172 Southwick,0.0
E05001173 Washington Central,0.0
E05001174 Washington East,0.0
E05001175 Washington North,90.69719108521913,200
E05001176 Washington South,0.0
E05001177 Washington West,0.0
E05001218 Bablake,76.59022730525659,200
E05001219 Binley and Willenhall,0.0
E05001220 Cheylesmore,0.0
E05001221 Earlsdon,0.0
E05001222 Foleshill,0.0
E05001223 Henley,0.0
E05001224 Holbrook,0.0
E05001225 Longford,0.0
E05001226 Lower Stoke,0.0
E05001227 Radford,0.0
E05001228 St Michael's,0.0
E05001229 Sherbourne,0.0
E05001230 Upper Stoke,0.0
E05001231 Wainbody,0.0
E05001232 Westwood,0.0
E05001233 Whoberley,0.0
E05001234 Woodlands,0.0
E05001235 Wyken,0.0
E05001260 Abbey,0.0
E05001261 Blackheath,0.0
E05001262 Bristnall,0.0
E05001263 Charlemont with Grove Vale,0.0
E05001264 Cradley Heath and Old Hill,0.0
E05001265 Friar Park,0.0
E05001266 Great Barr with Yew Tree,0.0
E05001267 Great Bridge,0.0
E05001268 Greets Green and Lyng,0.0
E05001269 Hateley Heath,0.0
E05001270 Langley,0.0
E05001271 Newton,0.0
E05001272 Old Warley,0.0
E05001273 Oldbury,0.0
E05001274 Princes End,0.0
E05001275 Rowley,0.0
E05001276 St Pauls,0.0
E05001277 Smethwick,0.0
E05001278 Soho and Victoria,0.0
E05001279 Tipton Green,0.0
E05001280 Tividale,0.0
E05001281 Wednesbury North,0.0
E05001282 Wednesbury South,0.0
E05001283 West Bromwich Central,70.6754443182732,200
E05001284 Bickenhill,87.18145689782253,197,3
E05001285 Blythe,82.21422244018716,200
E05001286 Castle Bromwich,0.0
E05001287 Chelmsley Wood,0.0
E05001288 Dorridge and Hockley Heath,55.09195689137969,200
E05001289 Elmdon,0.0
E05001290 Kingshurst and Fordbridge,0.0
E05001291 Knowle,40.19111283744527,200
E05001292 Lyndon,0.0
E05001293 Meriden,92.62313209298212,194,6
